,title,url
214,Professor Oren Yiftachel delivers lecture on Gray Space and the New Urban Regime,https://www.ucl.ac.uk/urban-lab/news/2014/feb/professor-oren-yiftachel-delivers-lecture-gray-space-and-new-urban-regime
215,Urban Pamphleteer #3: Design and Trust Call for Contributions,https://www.ucl.ac.uk/urban-lab/news/2014/jan/urban-pamphleteer-3-design-and-trust-call-contributions
216,New 'Change by Design' report now available,https://www.ucl.ac.uk/urban-lab/news/2014/jan/new-change-design-report-now-available
217,dpu summerLab 2013 pamphlet now available,https://www.ucl.ac.uk/urban-lab/news/2014/jan/dpu-summerlab-2013-pamphlet-now-available
218,Urban Laboratory launches Urban Pamphleteer #2: Regeneration Realities,https://www.ucl.ac.uk/urban-lab/news/2013/dec/urban-laboratory-launches-urban-pamphleteer-2-regeneration-realities
219,Future City: Doha,https://www.ucl.ac.uk/urban-lab/news/2013/dec/future-city-doha
220,Pushpa Arabindoo invited to speak at the Moscow Urban Forum,https://www.ucl.ac.uk/urban-lab/news/2013/dec/pushpa-arabindoo-invited-speak-moscow-urban-forum
221,Matthew Gandy gives keynote lecture at Oxford University,https://www.ucl.ac.uk/urban-lab/news/2013/oct/matthew-gandy-gives-keynote-lecture-oxford-university
222,Clare Melhuish awarded Perry Chapman Prize,https://www.ucl.ac.uk/urban-lab/news/2013/oct/clare-melhuish-awarded-perry-chapman-prize
223,"Matthew Gandy interviews Ash Amin for South African journal, Cityscapes",https://www.ucl.ac.uk/urban-lab/news/2013/oct/matthew-gandy-interviews-ash-amin-south-african-journal-cityscapes
224,Rethinking Urban Nature: European Research Council awards grant for new Urban Lab research programme,https://www.ucl.ac.uk/urban-lab/news/2013/aug/rethinking-urban-nature-european-research-council-awards-grant-new-urban-lab-research
225,UCL Urban Laboratory participating in International Research on Art and City network,https://www.ucl.ac.uk/urban-lab/news/2013/aug/ucl-urban-laboratory-participating-international-research-art-and-city-network
226,Future Universities podcasts now available,https://www.ucl.ac.uk/urban-lab/news/2013/jul/future-universities-podcasts-now-available
227,Urban Lab appoints Dr Clare Melhuish as Research Associate,https://www.ucl.ac.uk/urban-lab/news/2013/jul/urban-lab-appoints-dr-clare-melhuish-research-associate
228,Urban Lab awarded Leverhulme funding for artist-in-residence to work on Balfron Tower project,https://www.ucl.ac.uk/urban-lab/news/2013/jul/urban-lab-awarded-leverhulme-funding-artist-residence-work-balfron-tower-project
229,UCL Urban Laboratory Annual Report 2011- 2012,https://www.ucl.ac.uk/urban-lab/news/2013/jul/ucl-urban-laboratory-annual-report-2011-2012
230,Louis Moreno introduces Professor David Harvey lecture at Central Saint Martins,https://www.ucl.ac.uk/urban-lab/news/2013/jun/louis-moreno-introduces-professor-david-harvey-lecture-central-saint-martins
231,Apps and urban space: call for interviewees,https://www.ucl.ac.uk/urban-lab/news/2013/may/apps-and-urban-space-call-interviewees
232,DPU launches dpusummerLab 2013,https://www.ucl.ac.uk/urban-lab/news/2013/may/dpu-launches-dpusummerlab-2013
233,Pushpa Arabindoo invited to speak at 'The New Asian Middle Class' conference,https://www.ucl.ac.uk/urban-lab/news/2013/apr/pushpa-arabindoo-invited-speak-new-asian-middle-class-conference
234,Urban Laboratory launches Urban Pamphleteer,https://www.ucl.ac.uk/urban-lab/news/2013/apr/urban-laboratory-launches-urban-pamphleteer
235,UCL to consider alternatives to Carpenters Estate for new 'university quarter',https://www.ucl.ac.uk/urban-lab/news/2013/apr/ucl-consider-alternatives-carpenters-estate-new-university-quarter
236,Margit Mayer paper in CITY journal,https://www.ucl.ac.uk/urban-lab/news/2013/mar/margit-mayer-paper-city-journal
237,DPU summerLab 2012 series pamphlets launched ,https://www.ucl.ac.uk/urban-lab/news/2013/mar/dpu-summerlab-2012-series-pamphlets-launched
238,Development Planning Unit: Junior Professionals Programme launched,https://www.ucl.ac.uk/urban-lab/news/2013/jan/development-planning-unit-junior-professionals-programme-launched
239,International interdisciplinary 'Sexuality at Home' event held at the Bartlett,https://www.ucl.ac.uk/urban-lab/news/2013/jan/international-interdisciplinary-sexuality-home-event-held-bartlett
240,Urban Salon January 2013;  Ignacio Farías and Michael Guggenheim ,https://www.ucl.ac.uk/urban-lab/news/2013/jan/urban-salon-january-2013-ignacio-farias-and-michael-guggenheim
241,Future Proofing Cities report launched ,https://www.ucl.ac.uk/urban-lab/news/2012/dec/future-proofing-cities-report-launched
242,Michael Edwards participates in London Plan Examination in Public,https://www.ucl.ac.uk/urban-lab/news/2012/nov/michael-edwards-participates-london-plan-examination-public
243,"Regeneration x 10, Bartlett Research Exchange, podcasts now available",https://www.ucl.ac.uk/urban-lab/news/2012/nov/regeneration-x-10-bartlett-research-exchange-podcasts-now-available
244,UCL Behaviour Change Month,https://www.ucl.ac.uk/urban-lab/news/2012/nov/ucl-behaviour-change-month
245,Urban Reasoning pamphlet,https://www.ucl.ac.uk/urban-lab/news/2012/oct/urban-reasoning-pamphlet
246,Creative City Limits pamphlet,https://www.ucl.ac.uk/urban-lab/news/2012/oct/creative-city-limits-pamphlet
247,New Urban Laboratory book,https://www.ucl.ac.uk/urban-lab/news/2012/oct/new-urban-laboratory-book
248,Urban Lab wins joint funding for new international network ,https://www.ucl.ac.uk/urban-lab/news/2012/oct/urban-lab-wins-joint-funding-new-international-network
249,Matthew Gandy on queer ecology,https://www.ucl.ac.uk/urban-lab/news/2012/oct/matthew-gandy-queer-ecology
250,The Art of Dissent: Adventures in London's Olympic State,https://www.ucl.ac.uk/urban-lab/news/2012/oct/art-dissent-adventures-londons-olympic-state
251,UCL's Stratford proposition,https://www.ucl.ac.uk/urban-lab/news/2012/oct/ucls-stratford-proposition
252,Call for papers: Mobilising London's housing histories: the provision of homes since 1850,https://www.ucl.ac.uk/urban-lab/news/2012/oct/call-papers-mobilising-londons-housing-histories-provision-homes-1850
253,Stadtkolloquium 2013 Call for Papers,https://www.ucl.ac.uk/urban-lab/news/2012/oct/stadtkolloquium-2013-call-papers
254,Urban Laboratory and DPU open letter to UCL Council,https://www.ucl.ac.uk/urban-lab/news/2012/sep/urban-laboratory-and-dpu-open-letter-ucl-council
255,UCL Engineering co-sponsors Urban Lab,https://www.ucl.ac.uk/urban-lab/news/2012/jun/ucl-engineering-co-sponsors-urban-lab
256,UCL proposals for a Newham campus,https://www.ucl.ac.uk/urban-lab/news/2012/apr/ucl-proposals-newham-campus
257,CITY journal special feature,https://www.ucl.ac.uk/urban-lab/news/2011/dec/city-journal-special-feature
258,New book: Staging the New Berlin,https://www.ucl.ac.uk/urban-lab/news/2011/nov/new-book-staging-new-berlin
259,Insect City,https://www.ucl.ac.uk/urban-lab/news/2011/nov/insect-city
260,Aditya Mohanty on Commonwealth Split-Site Doctoral Scholarship,https://www.ucl.ac.uk/urban-lab/news/2011/nov/aditya-mohanty-commonwealth-split-site-doctoral-scholarship
261,Cities Methodologies Bucharest,https://www.ucl.ac.uk/urban-lab/news/2011/sep/cities-methodologies-bucharest
262,David Roberts Offered UCL GRS Scholarship,https://www.ucl.ac.uk/urban-lab/news/2011/apr/david-roberts-offered-ucl-grs-scholarship
263,Second Annual Provost's Awards for Public Engagement,https://www.ucl.ac.uk/urban-lab/news/2011/jan/second-annual-provosts-awards-public-engagement
264,Stadtkolloquium-Urban PhD Research Seminar,https://www.ucl.ac.uk/urban-lab/news/2010/jan/stadtkolloquium-urban-phd-research-seminar
265,City Visions: Urban Laboratory launch,https://www.ucl.ac.uk/urban-lab/news/2009/apr/city-visions-urban-laboratory-launch
